id,name,market,33types,17types
1301,極洋,市場第一部（内国株）,50,1
1305,ダイワ上場投信－トピックス,ETF・ETN,-,-
1306,ＴＯＰＩＸ連動型上場投資信託,ETF・ETN,-,-
1308,上場インデックスファンドＴＯＰＩＸ,ETF・ETN,-,-
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,ETF・ETN,-,-
1311,ＴＯＰＩＸ　Ｃｏｒｅ　３０　連動型上場投資信託,ETF・ETN,-,-
1312,ラッセル野村小型コア・インデックス連動型上場投資信託,ETF・ETN,-,-
1313,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,ETF・ETN,-,-
1319,日経３００株価指数連動型上場投資信託,ETF・ETN,-,-
1320,ダイワ上場投信－日経２２５,ETF・ETN,-,-
1321,日経２２５連動型上場投資信託,ETF・ETN,-,-
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,ETF・ETN,-,-
1323,ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ　Ａｆｒｉｃａ　Ｔｏｐ４０連動型上場投信,ETF・ETN,-,-
1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数・ＲＴＳ連動型上場投信,ETF・ETN,-,-
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,ETF・ETN,-,-
1326,ＳＰＤＲゴールド・シェア,ETF・ETN,-,-
1327,Ｓ＆Ｐ　ＧＳＣＩ商品指数　エネルギー＆メタル・キャップド・コンポーネント３５／２０・ＴＨＥＡＭ・イージーＵＣＩＴＳ・ＥＴＦクラスＡ米ドル建受益証券,ETF・ETN,-,-
1328,金価格連動型上場投資信託,ETF・ETN,-,-
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,ETF・ETN,-,-
1330,上場インデックスファンド２２５,ETF・ETN,-,-
1332,日本水産,市場第一部（内国株）,50,1
1333,マルハニチロ,市場第一部（内国株）,50,1
